player_id,name,team_id,position,birth_date,nationality
181463,Víctor Meseguer,720,Midfielder,1999-06-09,Spain
185094,Alberto Quintana,720,Midfielder,2001-10-05,Spain
264470,Raúl Moro,720,Attacker,2002-12-05,Spain
270972,Isra Sala,720,Attacker,2003-05-10,Spain
285506,Iván Cédric,720,Attacker,2001-12-22,Spain
286961,Manu Pozo,720,Attacker,2001-12-12,Spain
292219,S. Biuk,720,Attacker,2002-12-26,Croatia
331004,Chuky San José,720,Midfielder,2004-04-29,Spain
345967,Jesús,720,Midfielder,2004-02-08,Spain
361386,Koke,720,Midfielder,2005-03-16,Spain
440339,Adrián Arnu,720,Attacker,2007-03-04,Spain
937,Rubén Sobrino,724,Attacker,1992-06-01,Spain
1094,D. Samassékou,724,Midfielder,1996-01-11,Mali
2459,D. Machís,724,Attacker,1993-02-07,Venezuela
2615,M. Gómez,724,Attacker,1996-08-14,Uruguay
24793,Jorge Meré,724,Defender,1997-04-17,Spain
46691,Fede San Emeterio,724,Midfielder,1997-03-16,Spain
46849,Javi Hernández,724,Defender,1998-05-02,Spain
46890,Álvaro Jiménez,724,Attacker,1995-05-19,Spain
47320,Juanmi,724,Attacker,1993-05-20,Spain
47471,Roger,724,Attacker,1991-01-03,Spain
47495,Sergi Guardiola,724,Attacker,1991-05-29,Spain
48014,Aiham Ousou,724,Defender,2000-01-09,Syria
51588,B. Ocampo,724,Attacker,1999-06-25,Uruguay
77623,Y. Diarra,724,Midfielder,1998-03-24,Mali
84086,Robert Navarro,724,Midfielder,2002-04-12,Spain
104792,Chris Ramos,724,Attacker,1997-01-16,Spain
276995,F. Mwepu,724,Attacker,2000-02-29,Zambia
330238,Lucas Pires,724,Defender,2001-03-24,Brazil
386491,José de la Rosa,724,Attacker,2004-07-28,Spain
456612,Borja Vazquez,724,Attacker,2005-01-18,Spain
60,Joaquín Muñoz,726,Attacker,1999-03-10,Spain
2599,K. Hashimoto,726,Midfielder,1993-08-16,Japan
46660,Javi Martínez,726,Midfielder,1999-12-22,Spain
46840,Hugo Vallejo,726,Attacker,2000-02-15,Spain
46859,Javi Mier,726,Midfielder,1999-02-04,Spain
47106,Fernando Guerrero,726,Midfielder,2001-08-01,Spain
52683,J. Bolívar,726,Attacker,2001-12-16,Venezuela
96253,Elady,726,Attacker,1990-07-13,Spain
107195,E. Lombardo,726,Attacker,1997-04-16,France
119883,S. Obeng,726,Attacker,1997-05-15,Ghana
131544,Óscar Sielva,726,Midfielder,1991-08-06,Spain
182188,Rafa Tresaco,726,Attacker,2000-08-24,Spain
182637,Álex Balboa,726,Midfielder,2001-03-06,Equatorial Guinea
183747,Iker Kortajarena,726,Midfielder,2000-06-21,Spain
195272,Ignacio García,726,Defender,2002-05-08,Spain
350633,David García,726,Midfielder,2003-09-15,Spain
382827,A. Șerban,726,Defender,2003-09-13,Romania
391775,A. Arguigue,726,Attacker,2005-05-13,Morocco
431362,Diego Espinosa,726,Defender,2004-07-02,Spain
453927,Iker Gil,726,Attacker,2005-03-15,Spain
1825,Lucas Torró,727,Midfielder,1994-07-19,Spain
46653,David García,727,Defender,1994-02-14,Spain
46658,Rubén García,727,Midfielder,1993-07-14,Spain
46662,Moncayola,727,Midfielder,1998-05-13,Spain
46667,Kike Barja,727,Attacker,1997-04-01,Spain
46746,A. Budimir,727,Attacker,1991-07-22,Croatia
47391,Rubén Peña,727,Defender,1991-07-18,Spain
47419,José Arnaiz,727,Attacker,1995-04-15,Spain
47574,Moi Gómez,727,Midfielder,1994-06-23,Spain
64268,J. Mojica,727,Defender,1992-08-21,Colombia
67939,Aimar Oroz,727,Midfielder,2001-11-27,Spain
139001,Pablo Ibáñez,727,Midfielder,1998-09-20,Spain
146751,Raúl García,727,Attacker,2000-11-03,Spain
182592,Jorge Herrando,727,Defender,2001-02-28,Spain
182621,Iker Muñoz,727,Midfielder,2002-11-05,Spain
184609,Jorge Moreno,727,Defender,2001-07-25,Spain
197799,Xabi Huarte,727,Midfielder,2001-02-25,Spain
286606,Max Svensson,727,Attacker,2001-11-08,Spain
381197,Asier Osambela,727,Midfielder,2004-10-30,Spain
421044,Íñigo Arguibide,727,Attacker,2005-04-19,Spain
55,Borja Garcés,797,Attacker,1999-08-06,Spain
2581,J. Méndez,797,Midfielder,1997-04-26,Ecuador
46896,Cristian Salvador,797,Midfielder,1994-11-20,Spain
47057,Raúl Guti,797,Midfielder,1996-12-30,Spain
47182,Tete Morente,797,Midfielder,1996-12-04,Spain
47496,Óscar Plano,797,Attacker,1991-02-11,Spain
107158,Sergio Bermejo,797,Attacker,1997-08-17,Spain
119223,Mourad,797,Attacker,1998-05-27,Spain
138809,Arnau Puigmal,797,Midfielder,2001-01-10,Spain
157988,Sergio Carreira,797,Defender,2000-10-13,Spain
162136,R. Núñez,797,Attacker,2002-01-25,Dominican Republic
180241,Manu Nieto,797,Attacker,1998-03-29,Spain
189866,John Donald,797,Midfielder,2000-09-25,Spain
335697,David López,797,Defender,2003-02-03,Spain
341371,Rodrigo Mendoza,797,Midfielder,2005-03-15,Spain
435551,Nordin,797,Attacker,2005-02-14,Spain
439293,A. Boayar,797,Attacker,2005-10-13,Morocco
448243,A. Houary,797,Attacker,2005-08-05,Morocco
448244,Didac Castellá,797,Attacker,2005-01-21,Spain
462697,Mario,797,Midfielder,2005-12-22,Spain
213,K. Baldé,540,Attacker,1995-03-08,Senegal
2737,M. Braithwaite,540,Attacker,1991-06-05,Denmark
46775,Salvi Sánchez,540,Midfielder,1991-03-30,Spain
46799,Edu Expósito,540,Midfielder,1996-08-01,Spain
47170,José Carlos Lazo,540,Midfielder,1996-02-16,Spain
47349,Javi Puado,540,Attacker,1998-05-25,Spain
47398,Pere Milla,540,Midfielder,1992-09-23,Spain
67940,José Gragera,540,Midfielder,2000-05-14,Spain
127426,Pol Lozano,540,Midfielder,1999-10-06,Spain
128581,Nico Melamed,540,Midfielder,2001-04-11,Spain
182674,Jofre Carreras,540,Attacker,2001-06-17,Spain
182742,Alejandro Cea,540,Midfielder,2001-01-07,Spain
286605,Roger Martínez,540,Midfielder,2004-04-05,Spain
286645,Kenneth Soler,540,Attacker,2001-02-16,Spain
297742,Antoniu Roca,540,Attacker,2002-09-05,Spain
385445,Gastón Valles,540,Attacker,2001-05-10,Uruguay
388495,Javi Hernández,540,Midfielder,2004-01-30,Spain
392174,Sergio Rivares,540,Attacker,2005-01-18,Spain
419912,O. Sadik,540,Attacker,2004-03-22,Morocco
438284,Rafel Bauzà,540,Midfielder,,Spain
52,Sergio Camello,728,Attacker,2001-02-10,Spain
119,R. Falcao,728,Attacker,1986-02-10,Colombia
1703,A. Rațiu,728,Defender,1998-06-20,Romania
41552,P. Ciss,728,Midfielder,1994-03-16,Senegal
41973,Miguel Crespo,728,Midfielder,1996-09-11,Portugal
47109,Óscar Valentín,728,Midfielder,1994-08-20,Spain
47285,Unai López,728,Midfielder,1995-10-30,Spain
47527,S. Dimitrievski,728,Goalkeeper,1993-12-25,North Macedonia
47529,Miguel Ángel Morro,728,Goalkeeper,2000-09-11,Spain
47536,Martín Pascual,728,Defender,1999-08-04,Spain
47543,Álvaro García,728,Midfielder,1992-10-27,Spain
47549,José Pozo,728,Midfielder,1996-03-15,Spain
47551,Raúl de Tomás,728,Attacker,1994-10-17,Spain
47553,Bebé,728,Attacker,1990-07-12,Cape Verde
47557,Ó. Trejo,728,Midfielder,1988-04-26,Argentina
107153,Kike Pérez,728,Midfielder,1997-02-14,Spain
122657,Randy Nteka,728,Midfielder,1997-12-06,Angola
128582,Jorge de Frutos,728,Attacker,1997-02-20,Spain
131546,Isi Palazón,728,Midfielder,1994-12-27,Spain
333378,Diego Méndez,728,Midfielder,2003-08-29,Spain
414,Omar Mascarell,798,Midfielder,1993-02-02,Equatorial Guinea
1701,Manu Morlanes,798,Midfielder,1999-01-12,Spain
1920,N. Radonjić,798,Attacker,1996-02-15,Serbia
2001,C. Larin,798,Attacker,1995-04-17,Canada
37639,S. Van der Heyden,798,Defender,1998-05-30,Belgium
46657,Nacho Vidal,798,Defender,1995-01-24,Spain
46733,Raíllo,798,Defender,1991-10-08,Spain
46738,M. Valjent,798,Defender,1995-12-11,Slovakia
46739,I. Baba,798,Midfielder,1996-01-22,Ghana
46742,Dani Rodríguez,798,Midfielder,1988-06-06,Spain
46751,Abdón Prats,798,Attacker,1992-12-07,Spain
47336,Darder,798,Midfielder,1993-12-22,Spain
50048,V. Muriqi,798,Attacker,1994-04-24,Kosovo
107194,Antonio Sánchez,798,Midfielder,1997-04-22,Spain
190485,Samú Costa,798,Midfielder,2000-11-27,Portugal
293604,Javi Llabrés,798,Attacker,2002-09-11,Spain
333439,Rubén Quintanilla,798,Midfielder,2002-04-03,Spain
335426,Pau Mascaró,798,Attacker,2004-10-20,Spain
350073,Marcos Fernández,798,Defender,2003-07-17,Spain
371944,Carlos Sogorb,798,Defender,2005-08-23,Spain
619,Eric García,547,Defender,2001-01-09,Spain
1700,Iván Martín,547,Midfielder,1999-02-14,Spain
2182,V. Tsyhankov,547,Attacker,1997-11-15,Ukraine
2449,Y. Herrera,547,Midfielder,1998-01-07,Venezuela
2617,C. Stuani,547,Attacker,1986-10-12,Uruguay
15811,A. Dovbyk,547,Attacker,1997-06-21,Ukraine
47492,Toni Villa,547,Midfielder,1995-01-07,Spain
47515,Borja García,547,Midfielder,1990-11-02,Spain
47516,Aleix García,547,Midfielder,1997-06-28,Spain
47520,Portu,547,Attacker,1992-05-21,Spain
197448,Yan Couto,547,Defender,2002-06-03,Brazil
266657,Savinho,547,Attacker,2004-04-10,Brazil
285909,Pablo Torre,547,Midfielder,2003-04-03,Spain
306727,J. Solís,547,Midfielder,2004-10-03,Colombia
327628,Ricard Artero,547,Midfielder,2003-02-05,Spain
349046,Carles Garrido,547,Attacker,2004-10-04,Spain
388057,Alex Almansa,547,Attacker,2003-11-08,Spain
389600,Jastin García,547,Attacker,2004-01-15,Spain
389602,Iker Almena,547,Attacker,2004-05-04,Spain
402281,Silvi,547,Midfielder,2005-01-29,Spain
1470,Luís Maximiano,723,Goalkeeper,1999-01-05,Portugal
6065,L. Robertone,723,Midfielder,1997-03-18,Argentina
12667,Jonathan Viera,723,Midfielder,1989-10-21,Spain
13062,Léo Baptistão,723,Attacker,1992-08-26,Brazil
19306,A. Appiah,723,Attacker,2001-01-05,England
39245,I. Koné,723,Attacker,1999-06-16,Mali
46739,I. Baba,723,Midfielder,1996-01-22,Ghana
47237,L. Suárez,723,Attacker,1997-12-02,Colombia
47525,A. Lozano,723,Attacker,1993-04-25,Honduras
47554,Adri Embarba,723,Attacker,1992-05-07,Spain
47576,Gonzalo Melero,723,Midfielder,1994-01-02,Spain
138776,L. Ramazani,723,Attacker,2001-02-27,Belgium
138809,Arnau Puigmal,723,Midfielder,2001-01-10,Spain
162603,Carlos Rojas,723,Attacker,2002-04-18,Spain
263812,L. Romero,723,Midfielder,2004-11-18,Argentina
282131,M. Šviderský,723,Midfielder,2002-10-04,Slovakia
312650,Marezi,723,Attacker,2003-08-04,Serbia
344745,R. Fettal,723,Attacker,2005-01-16,Morocco
352905,Marciano Sanca,723,Attacker,2004-03-03,Guinea-Bissau
418944,Marcos Peña,723,Midfielder,2005-01-22,Spain
124,J. Cillessen,534,Goalkeeper,1989-04-22,Netherlands
2060,M. El Haddadi,534,Attacker,1995-09-01,Morocco
2671,Jaime Mata,534,Attacker,1988-10-24,Spain
21070,O. Mfulu,534,Midfielder,1994-03-20,Congo DR
21709,E. Loiodice,534,Midfielder,2000-11-27,France
21714,S. Kaba,534,Attacker,1995-07-28,Guinea
46860,Javi Muñoz,534,Midfielder,1995-02-28,Spain
47004,Fabio González,534,Midfielder,1997-02-12,Spain
47111,Benito Ramírez,534,Midfielder,1995-07-11,Spain
47180,Cristian Herrera,534,Attacker,1991-03-13,Spain
47324,Sandro Ramírez,534,Attacker,1995-07-09,Spain
47393,Marc Cardona,534,Attacker,1995-07-08,Spain
47464,Campaña,534,Midfielder,1993-05-31,Spain
51051,J. Araujo,534,Defender,2001-08-13,Mexico
70315,Kirian Rodríguez,534,Midfielder,1996-03-05,Spain
182519,Alberto Moleiro,534,Midfielder,2003-09-30,Spain
288699,M. Perrone,534,Midfielder,2003-01-07,Argentina
297869,Iñaki González,534,Midfielder,2004-07-27,Spain
308423,Yadam,534,Midfielder,2002-03-14,Spain
338750,Pau Ferrer,534,Attacker,2003-10-17,Spain
5974,J. Chicco,537,Midfielder,1998-01-13,Argentina
14331,Borja López,537,Defender,1994-02-02,Spain
41976,Y. Neyou,537,Midfielder,1997-01-03,Cameroon
46664,Luis Perea,537,Midfielder,1997-08-25,Spain
46934,Dani Jiménez,537,Goalkeeper,1990-03-05,Spain
47080,Jorge Sáenz,537,Defender,1996-11-17,Spain
47361,D. Brašanac,537,Midfielder,1992-02-12,Serbia
47407,A. Nyom,537,Defender,1988-05-10,Cameroon
47568,Jorge Miramón,537,Defender,1989-06-02,Spain
78457,D. Abzi,537,Defender,1998-11-23,Canada
122956,Diego Conde,537,Goalkeeper,1998-10-28,Spain
123047,Sergio González,537,Defender,1992-04-20,Spain
129657,Enric Franquesa,537,Defender,1997-02-26,Spain
131492,Aritz Arambarri,537,Defender,1998-01-31,Spain
185202,Juan Cruz,537,Midfielder,2000-04-25,Spain
301732,Víctor Rodríguez,537,Defender,2003-03-05,Spain
302051,S. Cissé,537,Midfielder,2001-02-10,Guinea
313851,Javi Garrido,537,Goalkeeper,2003-09-07,Spain
452757,Koke,537,Midfielder,2005-03-05,Spain
465280,Marco Leiton,537,Defender,2006-04-12,Spain
18,J. Sancho,33,Attacker,2000-03-25,England
74,S. Amrabat,33,Midfielder,1996-08-21,Morocco
547,D. van de Beek,33,Midfielder,1997-04-18,Netherlands
742,R. Varane,33,Defender,1993-04-25,France
897,M. Greenwood,33,Attacker,2001-10-01,England
903,S. McTominay,33,Midfielder,1996-12-08,Scotland
908,A. Martial,33,Attacker,1995-12-05,France
909,M. Rashford,33,Attacker,1997-10-31,England
1485,Bruno Fernandes,33,Midfielder,1994-09-08,Portugal
9971,Antony,33,Attacker,2000-02-24,Brazil
19220,M. Mount,33,Midfielder,1999-01-10,England
50132,A. Bayındır,33,Goalkeeper,1998-04-14,Türkiye
70078,F. Pellistri,33,Midfielder,2001-12-20,Uruguay
157997,A. Diallo,33,Attacker,2002-07-11,Côte d'Ivoire
163054,S. Shoretire,33,Attacker,2004-02-02,England
180560,H. Mejbri,33,Midfielder,2003-01-21,Tunisia
282133,J. Hugill,33,Attacker,2003-10-19,England
284242,O. Forson,33,Midfielder,2004-07-20,England
284324,A. Garnacho,33,Attacker,2004-07-01,Argentina
288006,R. Højlund,33,Attacker,2003-02-04,Denmark
169,K. Trippier,34,Defender,1990-09-19,England
723,Joelinton,34,Attacker,1996-08-14,Brazil
1463,J. Willock,34,Midfielder,1999-08-20,England
1972,L. Karius,34,Goalkeeper,1993-06-22,Germany
2864,A. Isak,34,Attacker,1999-09-21,Sweden
2939,C. Wilson,34,Attacker,1992-02-27,England
18892,P. Dummett,34,Defender,1991-09-26,Wales
18896,Javier Manquillo,34,Defender,1994-05-05,Spain
18903,M. Ritchie,34,Midfielder,1989-09-10,Scotland
31146,S. Tonali,34,Midfielder,2000-05-08,Italy
68127,K. Watts,34,Defender,1999-11-03,England
138787,A. Gordon,34,Attacker,2001-02-24,England
138906,J. White,34,Midfielder,2002-10-01,England
284278,M. Ndiweni,34,Attacker,2003-12-02,England
284291,J. Turner-Cooke,34,Midfielder,2003-12-31,England
284492,L. Hall,34,Defender,2004-09-08,England
293164,A. Diallo,34,Attacker,2003-02-15,England
328104,B. Parkinson,34,Attacker,2005-03-10,England
349987,G. Kuol,34,Attacker,2004-09-15,Australia
383685,Y. Minteh,34,Attacker,2004-07-22,Gambia
104,Carlos Vinícius,36,Attacker,1995-03-25,Brazil
105,F. Ballo-Touré,36,Defender,1997-01-03,Senegal
899,Andreas Pereira,36,Midfielder,1996-01-01,Brazil
1455,A. Iwobi,36,Attacker,1996-05-03,Nigeria
2294,Willian,36,Attacker,1988-08-09,Brazil
2823,S. Lukić,36,Midfielder,1996-08-13,Serbia
2887,R. Jiménez,36,Attacker,1991-05-05,Mexico
18753,Adama Traoré,36,Attacker,1996-01-25,Spain
19004,B. De Cordova-Reid,36,Attacker,1993-02-02,Jamaica
19145,T. Adarabioyo,36,Defender,1997-09-24,England
19221,H. Wilson,36,Midfielder,1997-03-22,Wales
19480,H. Reed,36,Midfielder,1995-01-27,England
19657,M. Rodák,36,Goalkeeper,1996-12-13,Slovakia
41104,João Palhinha,36,Midfielder,1995-07-09,Portugal
126690,K. Bowie,36,Attacker,2002-09-21,Scotland
138822,A. Broja,36,Attacker,2001-09-10,Albania
191971,J. Stansfield,36,Attacker,2002-11-24,England
195106,Rodrigo Muniz,36,Attacker,2001-05-04,Brazil
